"meanImp" "medianImp" "minImp" "maxImp" "normHits" "decision"
"drop_dat_Mean" 0.159567440903611 0.141752664960323 -1.7157059442295 2.10075207650637 0 "Rejected"
"blck_vce_Mean" 4.34518604567761 3.92876556353736 2.09823481907862 6.3552086143663 0.947368421052632 "Confirmed"
"blck_dat_Mean" 0.72565045937507 0.627322043610011 -0.192916899998497 1.73149492090928 0 "Rejected"
"unan_vce_Mean" 10.6831249346325 10.5354243619473 9.07483738041626 12.4826618490821 1 "Confirmed"
"unan_dat_Mean" -0.122778990356052 -0.132731920663745 -1.40529482952247 1.76797377087918 0 "Rejected"
"plcd_vce_Mean" 14.3588694489837 14.2709215426932 12.739969006214 16.0350128838781 1 "Confirmed"
"plcd_dat_Mean" 1.8876759049926 1.65381852744081 0.472024131852717 3.62245897363396 0.263157894736842 "Confirmed"
"recv_vce_Mean" 14.4099399389674 14.4061317996041 13.5475670968477 15.3103513688893 1 "Confirmed"
"recv_sms_Mean" -0.433086194715066 -0.291936142772429 -2.6148005744502 1.47958126288582 0 "Rejected"
"comp_vce_Mean" 14.8949804632247 14.9027968075655 12.8974000377595 17.0991604975108 1 "Confirmed"
"comp_dat_Mean" 2.47546572658343 2.52534008699047 0.426691683149983 4.44391334293833 0.421052631578947 "Confirmed"
"custcare_Mean" 7.32767364434085 7.48374010290504 5.52711709639361 8.67793010287732 1 "Confirmed"
"ccrndmou_Mean" 7.92439921002827 8.00762298040619 7.00256058387683 9.24427485253382 1 "Confirmed"
"cc_mou_Mean" 8.64773707224676 8.68738753411908 6.72679813682877 9.75263459964623 1 "Confirmed"
"inonemin_Mean" 13.9116492410892 13.462651960984 12.3671327820501 17.2950884142799 1 "Confirmed"
"threeway_Mean" 3.19407625464015 3.3570498023223 1.9072395228698 4.65760327703828 0.684210526315789 "Confirmed"
"mou_cvce_Mean" 16.979364029539 17.0234504560642 15.8789606875253 18.4393442001053 1 "Confirmed"
"mou_cdat_Mean" 2.50708318876886 2.73311495468072 0.13804177255965 3.81461925306431 0.473684210526316 "Confirmed"
"mou_rvce_Mean" 14.4691025676517 14.2726370857631 11.2837426563847 17.4070285941126 1 "Confirmed"
"owylis_vce_Mean" 10.4717559834722 10.5184253201296 9.36229582756555 12.1601278509816 1 "Confirmed"
"mouowylisv_Mean" 12.1048666467105 12.0252742310191 10.3443972613481 14.098823006951 1 "Confirmed"
"iwylis_vce_Mean" 10.0552967978088 9.99691373092355 9.23775106887051 11.4990177844445 1 "Confirmed"
"mouiwylisv_Mean" 11.2558274368429 11.2059322454511 10.1560191373393 12.3685021543329 1 "Confirmed"
"peak_vce_Mean" 15.7890227087931 15.798538826258 13.5063471039355 17.6434861556302 1 "Confirmed"
"peak_dat_Mean" 1.47851901932746 1.6565881720655 -0.25109409332682 2.5730019235633 0 "Rejected"
"mou_peav_Mean" 18.0382015145129 17.6886523185692 17.2239681192642 19.6398969604857 1 "Confirmed"
"mou_pead_Mean" 1.54900679904812 1.74549445445821 0.212290229485049 3.02823790328119 0.105263157894737 "Rejected"
"opk_vce_Mean" 14.8121000166873 15.3474473606703 13.073422366599 16.2761352509684 1 "Confirmed"
"opk_dat_Mean" 1.48148812588903 1.70234745671669 -0.443328278027044 2.9707639191615 0 "Rejected"
"mou_opkv_Mean" 15.8365009073364 15.7942483358126 14.9411127838537 16.5428399433859 1 "Confirmed"
"mou_opkd_Mean" 2.19831745333847 2.37207432077425 0.398602256600078 4.22991764480751 0.473684210526316 "Confirmed"
"drop_blk_Mean" 10.7545845767573 11.0260534628302 7.85362794408344 13.7820670754477 1 "Confirmed"
"attempt_Mean" 14.0357888156961 14.0666362867431 12.1623970474409 15.7686663411913 1 "Confirmed"
"complete_Mean" 14.9488406295534 15.0639640346847 12.8311021272293 16.2102603197377 1 "Confirmed"
"callfwdv_Mean" -0.0183363472083642 0.00490611763574906 -1.83733995922336 1.68669102215734 0 "Rejected"
"callwait_Mean" 7.28254539470865 7.2984259158386 5.5787256990034 9.38856428764643 1 "Confirmed"
"drop_vce_Range" 7.51220052190511 7.60465336177875 5.52361148101065 9.14882972049087 1 "Confirmed"
"drop_dat_Range" 0.39948729314814 0.484546621497524 -1.65748805081341 2.43138200708686 0.0526315789473684 "Rejected"
"blck_vce_Range" 3.55496290754516 3.24904069813592 1.90660497633878 5.50903328086965 0.894736842105263 "Confirmed"
"blck_dat_Range" 0.715589895674799 0.574056811258931 -0.716300681030905 3.49999245332332 0.105263157894737 "Rejected"
"unan_vce_Range" 8.3690174505222 8.24008253069387 6.83529897493439 10.4245555103048 1 "Confirmed"
"unan_dat_Range" -0.162297629607372 -0.330315966786121 -1.35204078468952 1.17094141208618 0 "Rejected"
"plcd_vce_Range" 13.3371656342829 13.4643256796278 11.747959359225 16.3664243261285 1 "Confirmed"
"plcd_dat_Range" 2.69323711882473 2.5560318791477 0.698896264377133 3.88444354307035 0.578947368421053 "Confirmed"
"recv_vce_Range" 11.5341372632591 11.5660024911823 9.96004429319732 12.6419280743972 1 "Confirmed"
"recv_sms_Range" -0.201560617573514 -0.139566986907709 -2.19502805628645 0.969574900321879 0 "Rejected"
"comp_vce_Range" 12.4199357249427 12.8142657075178 10.8482761245406 13.7651997104847 1 "Confirmed"
"comp_dat_Range" 2.26830141522778 2.36819440784674 0.153015197737705 4.14231247351602 0.473684210526316 "Rejected"
"custcare_Range" 6.25627677350983 6.21037751827428 4.99887936445599 7.64199006361462 1 "Confirmed"
"ccrndmou_Range" 6.57491875555892 6.71224802360992 5.03859302392592 7.8853934965582 1 "Confirmed"
"cc_mou_Range" 8.44951551458021 8.7811623613808 6.358691778632 10.0999569008098 1 "Confirmed"
"inonemin_Range" 9.72207730353905 9.54084703522435 7.50692854720934 11.6843445533737 1 "Confirmed"
"threeway_Range" 2.17039511768627 1.94090644867307 0.66761108674026 4.17225745609076 0.263157894736842 "Confirmed"
"mou_cvce_Range" 12.4663661718306 12.0963989010342 10.5629445070982 14.6081414474275 1 "Confirmed"
"mou_cdat_Range" 2.55017098069646 2.70504695305421 0.846907687086025 4.5051211966754 0.578947368421053 "Confirmed"
"mou_rvce_Range" 11.0156333574376 11.3493567319047 8.48450249731285 12.5067810437014 1 "Confirmed"
"owylis_vce_Range" 8.82735901837716 8.82459326314211 7.4296533779044 10.3064679782756 1 "Confirmed"
"mouowylisv_Range" 9.76886377544401 10.1477228310106 7.53564973393599 11.931743176797 1 "Confirmed"
"iwylis_vce_Range" 6.152815640485 6.2013160393173 4.64089869950467 7.70745255112197 1 "Confirmed"
"mouiwylisv_Range" 9.59027948666951 9.60850400372685 8.26456290384353 10.7894309978686 1 "Confirmed"
"peak_vce_Range" 12.9102023381401 12.9522768720516 11.4765649071656 14.3030177566768 1 "Confirmed"
"peak_dat_Range" 1.24539575408532 1.20824163053549 -0.613179613807038 2.81721954903498 0.105263157894737 "Confirmed"
"mou_peav_Range" 13.5119133593723 13.5373057976397 12.2573059734565 15.8261894807906 1 "Confirmed"
"mou_pead_Range" 1.86516751915517 2.0817282004541 -0.38803156349549 3.28981130532574 0.210526315789474 "Confirmed"
"opk_vce_Range" 10.2834776488755 10.091904267481 8.8210900895219 11.8490611674786 1 "Confirmed"
"opk_dat_Range" 1.47272832764001 1.1604108817815 -0.509896737108326 3.28177613780415 0.210526315789474 "Confirmed"
"mou_opkv_Range" 12.3431630285255 12.5086811740786 10.5579753679857 13.4005809107599 1 "Confirmed"
"mou_opkd_Range" 1.89828660445643 1.83541734039587 -0.176112017207772 3.74596539228588 0.421052631578947 "Confirmed"
"drop_blk_Range" 7.52913106072761 7.47871013583771 5.70816647098667 9.35034962622841 1 "Confirmed"
"attempt_Range" 13.1288862070766 13.2090465769122 11.9011735558405 14.6429975937016 1 "Confirmed"
"complete_Range" 12.2914560781478 12.3892417979374 10.5796922895848 13.7269269456932 1 "Confirmed"
"callfwdv_Range" -0.287256183964596 -0.412623650162531 -1.70253229557493 2.12550774346959 0 "Rejected"
"callwait_Range" 5.73530939391163 5.64614186946763 4.48401549708858 7.3690624777318 1 "Confirmed"
"months" 38.5035032409856 38.5980092243634 37.2077400815145 39.9710362575307 1 "Confirmed"
"uniqsubs" 11.4850252298955 11.5526822738747 10.0681685432776 12.4823253891628 1 "Confirmed"
"actvsubs" 7.09672936886227 7.17314589714513 5.12486345710296 8.60424225714831 1 "Confirmed"
"new_cell" 1.12361044110842 0.895524965964793 -0.424344058004841 3.24905548129656 0.105263157894737 "Confirmed"
"crclscod" 14.6715534961972 14.5831337740614 13.8337169947879 16.9457622832508 1 "Confirmed"
"asl_flag" 12.8490497077483 12.7295803265276 11.9940399518164 14.5596657809951 1 "Confirmed"
"totcalls" 18.0787918617659 18.1394969362395 15.5393854944415 20.0183418093362 1 "Confirmed"
"totmou" 16.9628797671056 16.9025468493202 15.5470195093208 18.6343323119429 1 "Confirmed"
"totrev" 22.4044967291681 22.2600985444808 20.4594237798427 24.0927507215402 1 "Confirmed"
"adjrev" 23.4948629620351 23.6286615718302 21.193725557426 24.8399308357028 1 "Confirmed"
"adjmou" 16.5629569803666 16.4708456803531 15.2805579346431 17.9335266308179 1 "Confirmed"
